QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,RB,Maurice Washington (13535301),Maurice Washington,13535301,RB/FLEX/S-FLEX,5900,NEB@MINN 10/12/2019 07:30PM ET,NEB,12.58
,,,,,,,,,WR,Elijah Moore (13535310),Elijah Moore,13535310,WR/FLEX/S-FLEX,5800,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,17.63
,,,,,,,,,RB,Artavis Pierce (13535304),Artavis Pierce,13535304,RB/FLEX/S-FLEX,5800,UTAH@ORST 10/12/2019 08:00PM ET,ORST,20.38
,,,,,,,,,WR,Trevon Bradford (13535313),Trevon Bradford,13535313,WR/FLEX/S-FLEX,5800,UTAH@ORST 10/12/2019 08:00PM ET,ORST,0
,,,,,,,,,RB,Rodney Smith (13535307),Rodney Smith,13535307,RB/FLEX/S-FLEX,5800,NEB@MINN 10/12/2019 07:30PM ET,MINN,16.8
,,,,,,,,,WR,Chatarius Atwell (13535318),Chatarius Atwell,13535318,WR/FLEX/S-FLEX,5700,UL@WAKE 10/12/2019 07:30PM ET,UL,20.82
,,,,,,,,,QB,Noah Vedral (13535316),Noah Vedral,13535316,QB/S-FLEX,5700,NEB@MINN 10/12/2019 07:30PM ET,NEB,6.22
,,,,,,,,,RB,Vavae Malepeai (13535326),Vavae Malepeai,13535326,RB/FLEX/S-FLEX,5600,USC@ND 10/12/2019 07:30PM ET,USC,15.6
,,,,,,,,,QB,Sam Hartman (13535321),Sam Hartman,13535321,QB/S-FLEX,5600,UL@WAKE 10/12/2019 07:30PM ET,WAKE,0
,,,,,,,,,WR,Wan'Dale Robinson (13535323),Wan'Dale Robinson,13535323,WR/FLEX/S-FLEX,5600,NEB@MINN 10/12/2019 07:30PM ET,NEB,17.27
,,,,,,,,,RB,John Emery Jr. (13535335),John Emery Jr.,13535335,RB/FLEX/S-FLEX,5500,UF@LSU 10/12/2019 08:00PM ET,LSU,8.12
,,,,,,,,,WR,Van Jefferson (13535344),Van Jefferson,13535344,WR/FLEX/S-FLEX,5500,UF@LSU 10/12/2019 08:00PM ET,UF,8.58
,,,,,,,,,RB,Scottie Phillips (13535329),Scottie Phillips,13535329,RB/FLEX/S-FLEX,5500,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,14.32
,,,,,,,,,RB,Jerrion Ealy (13535341),Jerrion Ealy,13535341,RB/FLEX/S-FLEX,5500,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,12.57
,,,,,,,,,RB,Jermar Jefferson (13535332),Jermar Jefferson,13535332,RB/FLEX/S-FLEX,5500,UTAH@ORST 10/12/2019 08:00PM ET,ORST,9.65
,,,,,,,,,RB,Cade Carney (13535338),Cade Carney,13535338,RB/FLEX/S-FLEX,5500,UL@WAKE 10/12/2019 07:30PM ET,WAKE,11.3
,,,,,,,,,RB,Tyler Badie (13535347),Tyler Badie,13535347,RB/FLEX/S-FLEX,5400,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,14.22
,,,,,,,,,WR,Jonathan Nance (13535350),Jonathan Nance,13535350,WR/FLEX/S-FLEX,5400,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,10.3
,,,,,,,,,WR,Johnathon Johnson (13535370),Johnathon Johnson,13535370,WR/FLEX/S-FLEX,5400,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,6.96
,,,,,,,,,RB,Stephen Carr (13535353),Stephen Carr,13535353,RB/FLEX/S-FLEX,5400,USC@ND 10/12/2019 07:30PM ET,USC,11.42
,,,,,,,,,WR,Javon McKinley (13535359),Javon McKinley,13535359,WR/FLEX/S-FLEX,5400,USC@ND 10/12/2019 07:30PM ET,ND,16.33
,,,,,,,,,WR,Amon-Ra St. Brown (13535365),Amon-Ra St. Brown,13535365,WR/FLEX/S-FLEX,5400,USC@ND 10/12/2019 07:30PM ET,USC,13.16
,,,,,,,,,QB,Phil Jurkovec (13535368),Phil Jurkovec,13535368,QB/S-FLEX,5400,USC@ND 10/12/2019 07:30PM ET,ND,7.57
,,,,,,,,,RB,Mekhi Sargent (13535356),Mekhi Sargent,13535356,RB/FLEX/S-FLEX,5400,PSU@IOWA 10/12/2019 07:30PM ET,IOWA,13.08
,,,,,,,,,RB,Mohamed Ibrahim (13535362),Mohamed Ibrahim,13535362,RB/FLEX/S-FLEX,5400,NEB@MINN 10/12/2019 07:30PM ET,MINN,12.6
,,,,,,,,,QB,Jason Shelley (13535373),Jason Shelley,13535373,QB/S-FLEX,5300,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,1.05
,,,,,,,,,WR,Kendall Hinton (13535378),Kendall Hinton,13535378,WR/FLEX/S-FLEX,5300,UL@WAKE 10/12/2019 07:30PM ET,WAKE,13.57
,,,,,,,,,RB,Noah Cain (13535375),Noah Cain,13535375,RB/FLEX/S-FLEX,5300,PSU@IOWA 10/12/2019 07:30PM ET,PSU,12.7
,,,,,,,,,WR,Ihmir Smith-Marsette (13535381),Ihmir Smith-Marsette,13535381,WR/FLEX/S-FLEX,5300,PSU@IOWA 10/12/2019 07:30PM ET,IOWA,16.34
,,,,,,,,,QB,Taylor Powell (13535395),Taylor Powell,13535395,QB/S-FLEX,5200,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,0.69
,,,,,,,,,WR,Braylon Sanders (13535409),Braylon Sanders,13535409,WR/FLEX/S-FLEX,5200,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,12.3
,,,,,,,,,WR,Albert Okwuegbunam (13535412),Albert Okwuegbunam,13535412,WR/FLEX/S-FLEX,5200,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,12
,,,,,,,,,WR,Bryan Thompson (13535403),Bryan Thompson,13535403,WR/FLEX/S-FLEX,5200,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,15
,,,,,,,,,WR,Cole Kmet (13535387),Cole Kmet,13535387,WR/FLEX/S-FLEX,5200,USC@ND 10/12/2019 07:30PM ET,ND,16.8
,,,,,,,,,RB,Tony Jones Jr (13535400),Tony Jones Jr,13535400,RB/FLEX/S-FLEX,5200,USC@ND 10/12/2019 07:30PM ET,ND,16.14
,,,,,,,,,RB,Javian Hawkins (13535384),Javian Hawkins,13535384,RB/FLEX/S-FLEX,5200,UL@WAKE 10/12/2019 07:30PM ET,UL,15.9
,,,,,,,,,WR,Dez Fitzpatrick (13535390),Dez Fitzpatrick,13535390,WR/FLEX/S-FLEX,5200,UL@WAKE 10/12/2019 07:30PM ET,UL,17.08
,,,,,,,,,QB,Will Levis (13535393),Will Levis,13535393,QB/S-FLEX,5200,PSU@IOWA 10/12/2019 07:30PM ET,PSU,8.33
,,,,,,,,,RB,Journey Brown (13535397),Journey Brown,13535397,RB/FLEX/S-FLEX,5200,PSU@IOWA 10/12/2019 07:30PM ET,PSU,12.92
,,,,,,,,,RB,Dedrick Mills (13535406),Dedrick Mills,13535406,RB/FLEX/S-FLEX,5200,NEB@MINN 10/12/2019 07:30PM ET,NEB,12.92
,,,,,,,,,WR,Freddie Swain (13535420),Freddie Swain,13535420,WR/FLEX/S-FLEX,5100,UF@LSU 10/12/2019 08:00PM ET,UF,13.02
,,,,,,,,,WR,Jalen Knox (13535415),Jalen Knox,13535415,WR/FLEX/S-FLEX,5100,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,8.12
,,,,,,,,,QB,Tristan Gebbia (13535418),Tristan Gebbia,13535418,QB/S-FLEX,5100,UTAH@ORST 10/12/2019 08:00PM ET,ORST,6.57
,,,,,,,,,WR,Jaylen Dixon (13535428),Jaylen Dixon,13535428,WR/FLEX/S-FLEX,5000,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,8.72
,,,,,,,,,WR,Brandon Smith (13535423),Brandon Smith,13535423,WR/FLEX/S-FLEX,5000,PSU@IOWA 10/12/2019 07:30PM ET,IOWA,11.3
,,,,,,,,,QB,Johnny Santaga (13535426),Johnny Santaga,13535426,QB/S-FLEX,5000,NEB@MINN 10/12/2019 07:30PM ET,MINN,0
,,,,,,,,,WR,Kyle Pitts (13535434),Kyle Pitts,13535434,WR/FLEX/S-FLEX,4900,UF@LSU 10/12/2019 08:00PM ET,UF,11.4
,,,,,,,,,RB,Jahmir Smith (13535440),Jahmir Smith,13535440,RB/FLEX/S-FLEX,4900,USC@ND 10/12/2019 07:30PM ET,ND,6.57
,,,,,,,,,RB,Kenneth Walker III (13535437),Kenneth Walker III,13535437,RB/FLEX/S-FLEX,4900,UL@WAKE 10/12/2019 07:30PM ET,WAKE,9.86
,,,,,,,,,RB,Shannon Brooks (13535431),Shannon Brooks,13535431,RB/FLEX/S-FLEX,4900,NEB@MINN 10/12/2019 07:30PM ET,MINN,10.3
,,,,,,,,,WR,Josh Hammond (13535451),Josh Hammond,13535451,WR/FLEX/S-FLEX,4800,UF@LSU 10/12/2019 08:00PM ET,UF,9.4
,,,,,,,,,WR,Jacob Copeland (13535454),Jacob Copeland,13535454,WR/FLEX/S-FLEX,4800,UF@LSU 10/12/2019 08:00PM ET,UF,7.5
,,,,,,,,,WR,Tyrie Cleveland (13535457),Tyrie Cleveland,13535457,WR/FLEX/S-FLEX,4800,UF@LSU 10/12/2019 08:00PM ET,UF,6.92
,,,,,,,,,RB,B.J. Baylor (13535443),B.J. Baylor,13535443,RB/FLEX/S-FLEX,4800,UTAH@ORST 10/12/2019 08:00PM ET,ORST,9.13
,,,,,,,,,RB,Devonta'e Henry-Cole (13535448),Devonta'e Henry-Cole,13535448,RB/FLEX/S-FLEX,4800,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,7.28
,,,,,,,,,QB,Spencer Petras (13535446),Spencer Petras,13535446,QB/S-FLEX,4800,PSU@IOWA 10/12/2019 07:30PM ET,IOWA,3.55
,,,,,,,,,QB,Emory Jones (13535471),Emory Jones,13535471,QB/S-FLEX,4700,UF@LSU 10/12/2019 08:00PM ET,UF,5.69
,,,,,,,,,QB,Grant Tisdale (13535469),Grant Tisdale,13535469,QB/S-FLEX,4700,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,7.24
,,,,,,,,,WR,Champ Flemings (13535466),Champ Flemings,13535466,WR/FLEX/S-FLEX,4700,UTAH@ORST 10/12/2019 08:00PM ET,ORST,10.14
,,,,,,,,,WR,Jahan Dotson (13535463),Jahan Dotson,13535463,WR/FLEX/S-FLEX,4700,PSU@IOWA 10/12/2019 07:30PM ET,PSU,11.52
,,,,,,,,,WR,Chris Autman-Bell (13535460),Chris Autman-Bell,13535460,WR/FLEX/S-FLEX,4700,NEB@MINN 10/12/2019 07:30PM ET,MINN,10.2
,,,,,,,,,WR,Samson Nacua (13535473),Samson Nacua,13535473,WR/FLEX/S-FLEX,4600,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,10.6
,,,,,,,,,WR,Tyjon Lindsey (13535479),Tyjon Lindsey,13535479,WR/FLEX/S-FLEX,4600,UTAH@ORST 10/12/2019 08:00PM ET,ORST,8.78
,,,,,,,,,WR,Chris Finke (13535482),Chris Finke,13535482,WR/FLEX/S-FLEX,4600,USC@ND 10/12/2019 07:30PM ET,ND,5.74
,,,,,,,,,WR,Pat Freiermuth (13535476),Pat Freiermuth,13535476,WR/FLEX/S-FLEX,4600,PSU@IOWA 10/12/2019 07:30PM ET,PSU,10.16
,,,,,,,,,RB,Ricky Slade (13535485),Ricky Slade,13535485,RB/FLEX/S-FLEX,4600,PSU@IOWA 10/12/2019 07:30PM ET,PSU,6.4
,,,,,,,,,WR,Kanawai Noa (13535488),Kanawai Noa,13535488,WR/FLEX/S-FLEX,4600,NEB@MINN 10/12/2019 07:30PM ET,NEB,5.1
,,,,,,,,,QB,Luke Matthews (13535494),Luke Matthews,13535494,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,UF,0
,,,,,,,,,QB,Feleipe Franks (13535496),Feleipe Franks,13535496,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,UF,18.57
,,,,,,,,,QB,Jack Ruskell (13535498),Jack Ruskell,13535498,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,UF,0
,,,,,,,,,QB,Nick Sproles (13535500),Nick Sproles,13535500,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,UF,0
,,,,,,,,,QB,Peter Parrish (13535516),Peter Parrish,13535516,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,LSU,0
,,,,,,,,,QB,AJ Aycock (13535518),AJ Aycock,13535518,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,LSU,0
,,,,,,,,,QB,Walker Kinney (13535520),Walker Kinney,13535520,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,LSU,0
,,,,,,,,,QB,John Gordon McKernan (13535522),John Gordon McKernan,13535522,QB/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,LSU,0
,,,,,,,,,WR,Trevon Grimes (13535603),Trevon Grimes,13535603,WR/FLEX/S-FLEX,4500,UF@LSU 10/12/2019 08:00PM ET,UF,6.58
,,,,,,,,,QB,Connor Bazelak (13535532),Connor Bazelak,13535532,QB/S-FLEX,4500,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,0.1
,,,,,,,,,QB,Shawn Robinson (13535534),Shawn Robinson,13535534,QB/S-FLEX,4500,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,0
,,,,,,,,,QB,Lindsey Scott Jr. (13535536),Lindsey Scott Jr.,13535536,QB/S-FLEX,4500,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,0
,,,,,,,,,QB,Kinkead Dent (13535554),Kinkead Dent,13535554,QB/S-FLEX,4500,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,0
,,,,,,,,,QB,Brice Johnson (13535556),Brice Johnson,13535556,QB/S-FLEX,4500,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,0
,,,,,,,,,QB,Sellers Shy (13535558),Sellers Shy,13535558,QB/S-FLEX,4500,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,0
,,,,,,,,,QB,Grant Restmeyer (13535560),Grant Restmeyer,13535560,QB/S-FLEX,4500,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,0
,,,,,,,,,QB,Jack Colletto (13535562),Jack Colletto,13535562,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,ORST,2.33
,,,,,,,,,QB,Aidan Willard (13535564),Aidan Willard,13535564,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,ORST,0
,,,,,,,,,QB,Nick Moore (13535566),Nick Moore,13535566,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,ORST,0
,,,,,,,,,QB,Jackson Chryst (13535568),Jackson Chryst,13535568,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,ORST,0
,,,,,,,,,QB,Drew Lisk (13535584),Drew Lisk,13535584,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,1.92
,,,,,,,,,QB,Cameron Rising (13535586),Cameron Rising,13535586,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,0
,,,,,,,,,QB,Blake Archuleta (13535588),Blake Archuleta,13535588,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,0
,,,,,,,,,QB,Zach Hymas (13535590),Zach Hymas,13535590,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,0
,,,,,,,,,QB,Carter Robinson (13535592),Carter Robinson,13535592,QB/S-FLEX,4500,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,0
,,,,,,,,,RB,Jafar Armstrong (13535491),Jafar Armstrong,13535491,RB/FLEX/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,ND,3.6
,,,,,,,,,QB,J.D. Carney (13535546),J.D. Carney,13535546,QB/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,ND,0
,,,,,,,,,QB,Brendon Clark (13535548),Brendon Clark,13535548,QB/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,ND,4.09
,,,,,,,,,QB,Cole Capen (13535550),Cole Capen,13535550,QB/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,ND,0
,,,,,,,,,QB,Nolan Henry (13535552),Nolan Henry,13535552,QB/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,ND,0
,,,,,,,,,QB,JT Daniels (13535578),JT Daniels,13535578,QB/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,USC,10
,,,,,,,,,QB,Scott Harris (13535580),Scott Harris,13535580,QB/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,USC,0
,,,,,,,,,QB,Trevor Scully (13535582),Trevor Scully,13535582,QB/S-FLEX,4500,USC@ND 10/12/2019 07:30PM ET,USC,0
,,,,,,,,,QB,Christian Perez (13535510),Christian Perez,13535510,QB/S-FLEX,4500,UL@WAKE 10/12/2019 07:30PM ET,UL,0
,,,,,,,,,QB,Will Warren (13535512),Will Warren,13535512,QB/S-FLEX,4500,UL@WAKE 10/12/2019 07:30PM ET,UL,0
,,,,,,,,,QB,Drew Zaubi (13535514),Drew Zaubi,13535514,QB/S-FLEX,4500,UL@WAKE 10/12/2019 07:30PM ET,UL,0
,,,,,,,,,QB,Tayvon Bowers (13535594),Tayvon Bowers,13535594,QB/S-FLEX,4500,UL@WAKE 10/12/2019 07:30PM ET,WAKE,0
,,,,,,,,,QB,Michael Kern (13535596),Michael Kern,13535596,QB/S-FLEX,4500,UL@WAKE 10/12/2019 07:30PM ET,WAKE,7.88
,,,,,,,,,QB,Leo Kelly (13535598),Leo Kelly,13535598,QB/S-FLEX,4500,UL@WAKE 10/12/2019 07:30PM ET,WAKE,0
