QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,RB,Eno Benjamin (13209716),Eno Benjamin,13209716,RB/FLEX/S-FLEX,8800,KENT@ASU 08/29/2019 10:00PM ET,ASU,27.73
,,,,,,,,,RB,Zack Moss (13209675),Zack Moss,13209675,RB/FLEX/S-FLEX,7200,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,23.51
,,,,,,,,,WR,Kyle Williams (13209664),Kyle Williams,13209664,WR/FLEX/S-FLEX,6600,KENT@ASU 08/29/2019 10:00PM ET,ASU,8.05
,,,,,,,,,WR,Brandon Aiyuk (13209788),Brandon Aiyuk,13209788,WR/FLEX/S-FLEX,6500,KENT@ASU 08/29/2019 10:00PM ET,ASU,8.03
,,,,,,,,,QB,Tyler Huntley (13209673),Tyler Huntley,13209673,QB/S-FLEX,6200,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,20.30
,,,,,,,,,QB,Zach Wilson (13209823),Zach Wilson,13209823,QB/S-FLEX,6100,UTAH@BYU 08/29/2019 10:15PM ET,BYU,16.14
,,,,,,,,,QB,Dillon Sterling-Cole (13209662),Dillon Sterling-Cole,13209662,QB/S-FLEX,5800,KENT@ASU 08/29/2019 10:00PM ET,ASU,1.1
,,,,,,,,,WR,Jaylen Dixon (13209743),Jaylen Dixon,13209743,WR/FLEX/S-FLEX,5800,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,9.69
,,,,,,,,,QB,Jayden Daniels (13209894),Jayden Daniels,13209894,QB/S-FLEX,5600,KENT@ASU 08/29/2019 10:00PM ET,ASU,0
,,,,,,,,,WR,Frank Darby (13209681),Frank Darby,13209681,WR/FLEX/S-FLEX,5400,KENT@ASU 08/29/2019 10:00PM ET,ASU,10.14
,,,,,,,,,QB,Jason Shelley (13209749),Jason Shelley,13209749,QB/S-FLEX,5100,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,10.96
,,,,,,,,,RB,Lopini Katoa (13209818),Lopini Katoa,13209818,RB/FLEX/S-FLEX,5000,UTAH@BYU 08/29/2019 10:15PM ET,BYU,11.79
,,,,,,,,,WR,Mike Carrigan (13209684),Mike Carrigan,13209684,WR/FLEX/S-FLEX,4900,KENT@ASU 08/29/2019 10:00PM ET,KENT,11.39
,,,,,,,,,QB,Woody Barrett (13209825),Woody Barrett,13209825,QB/S-FLEX,4900,KENT@ASU 08/29/2019 10:00PM ET,KENT,18.54
,,,,,,,,,RB,Jo-el Shaw (13209844),Jo-el Shaw,13209844,RB/FLEX/S-FLEX,4800,KENT@ASU 08/29/2019 10:00PM ET,KENT,16.57
,,,,,,,,,QB,Dustin Crum (13209760),Dustin Crum,13209760,QB/S-FLEX,4700,KENT@ASU 08/29/2019 10:00PM ET,KENT,5.36
,,,,,,,,,QB,Drew Lisk (13209708),Drew Lisk,13209708,QB/S-FLEX,4700,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,-0.1
,,,,,,,,,QB,Jaren Hall (13209877),Jaren Hall,13209877,QB/S-FLEX,4700,UTAH@BYU 08/29/2019 10:15PM ET,BYU,0.2
,,,,,,,,,WR,Antwan Dixon (13209635),Antwan Dixon,13209635,WR/FLEX/S-FLEX,4600,KENT@ASU 08/29/2019 10:00PM ET,KENT,10.73
,,,,,,,,,QB,Pyrce Taylor (13209778),Pyrce Taylor,13209778,QB/S-FLEX,4500,KENT@ASU 08/29/2019 10:00PM ET,KENT,0
,,,,,,,,,QB,Marquez Glover (13209836),Marquez Glover,13209836,QB/S-FLEX,4500,KENT@ASU 08/29/2019 10:00PM ET,KENT,0
,,,,,,,,,QB,Ethan Long (13209896),Ethan Long,13209896,QB/S-FLEX,4500,KENT@ASU 08/29/2019 10:00PM ET,ASU,0
,,,,,,,,,QB,Joey Yellen (13209898),Joey Yellen,13209898,QB/S-FLEX,4500,KENT@ASU 08/29/2019 10:00PM ET,ASU,0
,,,,,,,,,QB,Trenton Bourguet (13209937),Trenton Bourguet,13209937,QB/S-FLEX,4500,KENT@ASU 08/29/2019 10:00PM ET,ASU,0
,,,,,,,,,QB,Collin Schlee (13209969),Collin Schlee,13209969,QB/S-FLEX,4500,KENT@ASU 08/29/2019 10:00PM ET,KENT,0
,,,,,,,,,RB,Ty'Son Williams (13209623),Ty'Son Williams,13209623,RB/FLEX/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,BYU,10.5
,,,,,,,,,WR,Moroni Laulu-Pututau (13209650),Moroni Laulu-Pututau,13209650,WR/FLEX/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,BYU,8
,,,,,,,,,QB,Joe Critchlow (13209771),Joe Critchlow,13209771,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,BYU,0
,,,,,,,,,QB,Zach Hymas (13209773),Zach Hymas,13209773,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,0
,,,,,,,,,QB,Cameron Rising (13209786),Cameron Rising,13209786,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,0
,,,,,,,,,QB,Baylor Romney (13209821),Baylor Romney,13209821,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,BYU,0
,,,,,,,,,QB,Jayden Clemons (13209912),Jayden Clemons,13209912,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,0
,,,,,,,,,QB,Rhett Reilly (13209923),Rhett Reilly,13209923,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,BYU,0
,,,,,,,,,QB,Blake Archuleta (13209986),Blake Archuleta,13209986,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,0
,,,,,,,,,QB,Carter Robinson (13209997),Carter Robinson,13209997,QB/S-FLEX,4500,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,0
,,,,,,,,,WR,Isaiah McKoy (13209841),Isaiah McKoy,13209841,WR/FLEX/S-FLEX,4400,KENT@ASU 08/29/2019 10:00PM ET,KENT,11.7
,,,,,,,,,WR,Britain Covey (13209641),Britain Covey,13209641,WR/FLEX/S-FLEX,4400,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,12.13
,,,,,,,,,WR,Talon Shumway (13209653),Talon Shumway,13209653,WR/FLEX/S-FLEX,4400,UTAH@BYU 08/29/2019 10:15PM ET,BYU,8.52
,,,,,,,,,WR,Aleva Hifo (13209693),Aleva Hifo,13209693,WR/FLEX/S-FLEX,4400,UTAH@BYU 08/29/2019 10:15PM ET,BYU,8.07
,,,,,,,,,WR,Matt Bushman (13209725),Matt Bushman,13209725,WR/FLEX/S-FLEX,4400,UTAH@BYU 08/29/2019 10:15PM ET,BYU,8.28
,,,,,,,,,WR,Solomon Enis (13209806),Solomon Enis,13209806,WR/FLEX/S-FLEX,4300,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,4.61
,,,,,,,,,RB,Emmanuel Esukpa (13209632),Emmanuel Esukpa,13209632,RB/FLEX/S-FLEX,4200,UTAH@BYU 08/29/2019 10:15PM ET,BYU,8.51
,,,,,,,,,WR,Samson Nacua (13209702),Samson Nacua,13209702,WR/FLEX/S-FLEX,4100,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,7.48
