CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,RB,Lorenzo Lingard (13144109),Lorenzo Lingard,13144109,CPT,4800,MIA@UF 08/24/2019 07:00PM ET,MIA,6.4
,,,,,,,WR,Josh Hammond (13144111),Josh Hammond,13144111,CPT,4800,MIA@UF 08/24/2019 07:00PM ET,UF,8.92
,,,,,,,WR,Brevin Jordan (13144113),Brevin Jordan,13144113,CPT,4800,MIA@UF 08/24/2019 07:00PM ET,MIA,9.41
,,,,,,,QB,Luke Matthews (13144017),Luke Matthews,13144017,UTIL,4600,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,K,Chris Howard (13144106),Chris Howard,13144106,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,K,Turner Davidson (13144108),Turner Davidson,13144108,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Freddie Swain (13144110),Freddie Swain,13144110,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,UF,6.96
,,,,,,,RB,Malik Davis (13144112),Malik Davis,13144112,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,UF,4.13
,,,,,,,K,Matt Goudis (13144114),Matt Goudis,13144114,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,QB,Josh Grady (13144115),Josh Grady,13144115,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,K,Austin Hardin (13144116),Austin Hardin,13144116,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,K,Camden Price (13144119),Camden Price,13144119,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Jeremiah Payton (13144120),Jeremiah Payton,13144120,CPT,4500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,QB,Peyton Matocha (13144018),Peyton Matocha,13144018,UTIL,4400,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Cam'Ron Harris (13144019),Cam'Ron Harris,13144019,UTIL,4200,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Brian Hightower (13144121),Brian Hightower,13144121,CPT,4200,MIA@UF 08/24/2019 07:00PM ET,MIA,4
,,,,,,,WR,Tyrie Cleveland (13144020),Tyrie Cleveland,13144020,UTIL,4000,MIA@UF 08/24/2019 07:00PM ET,UF,5.72
,,,,,,,K,Bubba Baxa (13144032),Bubba Baxa,13144032,UTIL,4000,MIA@UF 08/24/2019 07:00PM ET,MIA,5.62
,,,,,,,WR,Will Mallory (13144122),Will Mallory,13144122,CPT,3900,MIA@UF 08/24/2019 07:00PM ET,MIA,4.9
,,,,,,,K,Evan McPherson (13144033),Evan McPherson,13144033,UTIL,3800,MIA@UF 08/24/2019 07:00PM ET,UF,8
,,,,,,,WR,Michael Harley (13144022),Michael Harley,13144022,UTIL,3600,MIA@UF 08/24/2019 07:00PM ET,MIA,5.62
,,,,,,,WR,Michael Irvin II (13144123),Michael Irvin II,13144123,CPT,3600,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Kadarius Toney (13144124),Kadarius Toney,13144124,CPT,3300,MIA@UF 08/24/2019 07:00PM ET,UF,7.07
,,,,,,,WR,Larry Hodges (13144131),Larry Hodges,13144131,CPT,3300,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Lorenzo Lingard (13144024),Lorenzo Lingard,13144024,UTIL,3200,MIA@UF 08/24/2019 07:00PM ET,MIA,6.4
,,,,,,,WR,Josh Hammond (13144026),Josh Hammond,13144026,UTIL,3200,MIA@UF 08/24/2019 07:00PM ET,UF,8.92
,,,,,,,WR,Brevin Jordan (13144028),Brevin Jordan,13144028,UTIL,3200,MIA@UF 08/24/2019 07:00PM ET,MIA,9.41
,,,,,,,K,Chris Howard (13144021),Chris Howard,13144021,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,K,Turner Davidson (13144023),Turner Davidson,13144023,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Freddie Swain (13144025),Freddie Swain,13144025,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,UF,6.96
,,,,,,,RB,Malik Davis (13144027),Malik Davis,13144027,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,UF,4.13
,,,,,,,K,Matt Goudis (13144029),Matt Goudis,13144029,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,QB,Josh Grady (13144030),Josh Grady,13144030,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,K,Austin Hardin (13144031),Austin Hardin,13144031,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,K,Camden Price (13144034),Camden Price,13144034,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Jeremiah Payton (13144035),Jeremiah Payton,13144035,UTIL,3000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Iverson Clement (13144125),Iverson Clement,13144125,CPT,3000,MIA@UF 08/24/2019 07:00PM ET,UF,0.85
,,,,,,,WR,Rick Wells (13144132),Rick Wells,13144132,CPT,3000,MIA@UF 08/24/2019 07:00PM ET,UF,1.6
,,,,,,,WR,Brian Hightower (13144036),Brian Hightower,13144036,UTIL,2800,MIA@UF 08/24/2019 07:00PM ET,MIA,4
,,,,,,,WR,Mark Pope (13144126),Mark Pope,13144126,CPT,2700,MIA@UF 08/24/2019 07:00PM ET,MIA,1.25
,,,,,,,WR,Kemore Gamble (13144133),Kemore Gamble,13144133,CPT,2700,MIA@UF 08/24/2019 07:00PM ET,UF,2.56
,,,,,,,WR,Will Mallory (13144037),Will Mallory,13144037,UTIL,2600,MIA@UF 08/24/2019 07:00PM ET,MIA,4.9
,,,,,,,WR,Michael Irvin II (13144038),Michael Irvin II,13144038,UTIL,2400,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Jacob Copeland (13144127),Jacob Copeland,13144127,CPT,2400,MIA@UF 08/24/2019 07:00PM ET,UF,2.6
,,,,,,,RB,Robert Burns (13144134),Robert Burns,13144134,CPT,2400,MIA@UF 08/24/2019 07:00PM ET,MIA,1
,,,,,,,RB,Isaac Ricks (13144138),Isaac Ricks,13144138,CPT,2400,MIA@UF 08/24/2019 07:00PM ET,UF,0.65
,,,,,,,RB,Kadarius Toney (13144039),Kadarius Toney,13144039,UTIL,2200,MIA@UF 08/24/2019 07:00PM ET,UF,7.07
,,,,,,,WR,Larry Hodges (13144046),Larry Hodges,13144046,UTIL,2200,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Dante Lang (13144128),Dante Lang,13144128,CPT,2100,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Evidence Njoku (13144135),Evidence Njoku,13144135,CPT,2100,MIA@UF 08/24/2019 07:00PM ET,MIA,2.1
,,,,,,,RB,Iverson Clement (13144040),Iverson Clement,13144040,UTIL,2000,MIA@UF 08/24/2019 07:00PM ET,UF,0.85
,,,,,,,WR,Rick Wells (13144047),Rick Wells,13144047,UTIL,2000,MIA@UF 08/24/2019 07:00PM ET,UF,1.6
,,,,,,,WR,Mark Pope (13144041),Mark Pope,13144041,UTIL,1800,MIA@UF 08/24/2019 07:00PM ET,MIA,1.25
,,,,,,,WR,Kemore Gamble (13144048),Kemore Gamble,13144048,UTIL,1800,MIA@UF 08/24/2019 07:00PM ET,UF,2.56
,,,,,,,WR,Kyle Pitts (13144129),Kyle Pitts,13144129,CPT,1800,MIA@UF 08/24/2019 07:00PM ET,UF,5.43
,,,,,,,WR,Brian Polendey (13144136),Brian Polendey,13144136,CPT,1800,MIA@UF 08/24/2019 07:00PM ET,MIA,2.4
,,,,,,,WR,Jacob Copeland (13144042),Jacob Copeland,13144042,UTIL,1600,MIA@UF 08/24/2019 07:00PM ET,UF,2.6
,,,,,,,RB,Robert Burns (13144049),Robert Burns,13144049,UTIL,1600,MIA@UF 08/24/2019 07:00PM ET,MIA,1
,,,,,,,RB,Isaac Ricks (13144053),Isaac Ricks,13144053,UTIL,1600,MIA@UF 08/24/2019 07:00PM ET,UF,0.65
,,,,,,,RB,Nay'Quan Wright (13144130),Nay'Quan Wright,13144130,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Nicholas Ducheine (13144137),Nicholas Ducheine,13144137,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Frankie Hammond (13144139),Frankie Hammond,13144139,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Clive Walford (13144140),Clive Walford,13144140,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Valdez Showers (13144141),Valdez Showers,13144141,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Latroy Pittman Jr. (13144142),Latroy Pittman Jr.,13144142,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,RB,Mark Herndon (13144143),Mark Herndon,13144143,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Standish Dobard (13144144),Standish Dobard,13144144,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Gus Edwards (13144145),Gus Edwards,13144145,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Brandon Powell (13144146),Brandon Powell,13144146,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,RB,Mark Walton (13144147),Mark Walton,13144147,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Antonio Callaway (13144148),Antonio Callaway,13144148,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Andres Saldivar (13144149),Andres Saldivar,13144149,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Elias Lugo-Fagundo (13144150),Elias Lugo-Fagundo,13144150,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Marshall Few (13144151),Marshall Few,13144151,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,RB,Michael Parrott (13144152),Michael Parrott,13144152,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Joshua Tse (13144153),Joshua Tse,13144153,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Trey Thompson (13144154),Trey Thompson,13144154,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Erik Askeland (13144155),Erik Askeland,13144155,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Dee Wiggins (13144156),Dee Wiggins,13144156,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,2.86
,,,,,,,WR,Will Huggins (13144157),Will Huggins,13144157,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Brian Miller (13144158),Brian Miller,13144158,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Dennis Gross (13144159),Dennis Gross,13144159,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,RB,Asa Martin (13144160),Asa Martin,13144160,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,2.26
,,,,,,,RB,Realus George Jr. (13144161),Realus George Jr.,13144161,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Lucas Krull (13144162),Lucas Krull,13144162,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,2.35
,,,,,,,WR,Garrett Conner (13144163),Garrett Conner,13144163,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Daniel Cross (13144164),Daniel Cross,13144164,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Ja'Markis Weston (13144165),Ja'Markis Weston,13144165,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Keon Zipperer (13144166),Keon Zipperer,13144166,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Jarius Howard (13144167),Jarius Howard,13144167,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Robert Prosek (13144168),Robert Prosek,13144168,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Dionte Marks (13144169),Dionte Marks,13144169,CPT,1500,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Dante Lang (13144043),Dante Lang,13144043,UTIL,1400,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Evidence Njoku (13144050),Evidence Njoku,13144050,UTIL,1400,MIA@UF 08/24/2019 07:00PM ET,MIA,2.1
,,,,,,,WR,Kyle Pitts (13144044),Kyle Pitts,13144044,UTIL,1200,MIA@UF 08/24/2019 07:00PM ET,UF,5.43
,,,,,,,WR,Brian Polendey (13144051),Brian Polendey,13144051,UTIL,1200,MIA@UF 08/24/2019 07:00PM ET,MIA,2.4
,,,,,,,RB,Nay'Quan Wright (13144045),Nay'Quan Wright,13144045,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
