QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Jayden Daniels (13185937),Jayden Daniels,13185937,QB/S-FLEX,5600,KENT@ASU 08/29/2019 10:00PM ET,ASU,0
,,,,,,,,,QB,Austin Burton (13185935),Austin Burton,13185935,QB/S-FLEX,5600,UCLA@CINCY 08/29/2019 07:00PM ET,UCLA,0
,,,,,,,,,WR,Frank Darby (13185944),Frank Darby,13185944,WR/FLEX/S-FLEX,5400,KENT@ASU 08/29/2019 10:00PM ET,ASU,10.14
,,,,,,,,,WR,Amari Rodgers (13185939),Amari Rodgers,13185939,WR/FLEX/S-FLEX,5400,GT@CLEM 08/29/2019 08:00PM ET,CLEM,9.6
,,,,,,,,,QB,James Morgan (13185942),James Morgan,13185942,QB/S-FLEX,5400,FIU@TUL 08/29/2019 08:00PM ET,FIU,18.10
,,,,,,,,,WR,Kendrick Rogers (13185947),Kendrick Rogers,13185947,WR/FLEX/S-FLEX,5300,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,11.07
,,,,,,,,,QB,Kaylan Wiggins (13185950),Kaylan Wiggins,13185950,QB/S-FLEX,5200,FIU@TUL 08/29/2019 08:00PM ET,FIU,0
,,,,,,,,,RB,Jacob Kibodi (13185956),Jacob Kibodi,13185956,RB/FLEX/S-FLEX,5100,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,2.6
,,,,,,,,,QB,Jake Sopko (13185952),Jake Sopko,13185952,QB/S-FLEX,5100,UCLA@CINCY 08/29/2019 07:00PM ET,CINCY,1.5
,,,,,,,,,WR,Josiah Deguara (13185959),Josiah Deguara,13185959,WR/FLEX/S-FLEX,5100,UCLA@CINCY 08/29/2019 07:00PM ET,CINCY,9.06
,,,,,,,,,QB,Jason Shelley (13185954),Jason Shelley,13185954,QB/S-FLEX,5100,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,10.96
,,,,,,,,,RB,Lopini Katoa (13185964),Lopini Katoa,13185964,RB/FLEX/S-FLEX,5000,UTAH@BYU 08/29/2019 10:15PM ET,BYU,11.79
,,,,,,,,,QB,Keon Howard (13185962),Keon Howard,13185962,QB/S-FLEX,5000,FIU@TUL 08/29/2019 08:00PM ET,TUL,0
,,,,,,,,,WR,Jalen Preston (13185967),Jalen Preston,13185967,WR/FLEX/S-FLEX,4900,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,8.4
,,,,,,,,,QB,Woody Barrett (13185970),Woody Barrett,13185970,QB/S-FLEX,4900,KENT@ASU 08/29/2019 10:00PM ET,KENT,18.54
,,,,,,,,,WR,Mike Carrigan (13185972),Mike Carrigan,13185972,WR/FLEX/S-FLEX,4900,KENT@ASU 08/29/2019 10:00PM ET,KENT,11.39
,,,,,,,,,RB,Jo-el Shaw (13185975),Jo-el Shaw,13185975,RB/FLEX/S-FLEX,4800,KENT@ASU 08/29/2019 10:00PM ET,KENT,16.57
,,,,,,,,,RB,D'Vonte Price (13185978),D'Vonte Price,13185978,RB/FLEX/S-FLEX,4800,FIU@TUL 08/29/2019 08:00PM ET,FIU,9.05
,,,,,,,,,WR,Austin Maloney (13185981),Austin Maloney,13185981,WR/FLEX/S-FLEX,4800,FIU@TUL 08/29/2019 08:00PM ET,FIU,11.27
,,,,,,,,,RB,Alec Harris (13185984),Alec Harris,13185984,RB/FLEX/S-FLEX,4700,TXST@TA&M 08/29/2019 08:30PM ET,TXST,15.3
,,,,,,,,,QB,Dustin Crum (13185996),Dustin Crum,13185996,QB/S-FLEX,4700,KENT@ASU 08/29/2019 10:00PM ET,KENT,5.36
,,,,,,,,,RB,Charles McClelland (13185987),Charles McClelland,13185987,RB/FLEX/S-FLEX,4700,UCLA@CINCY 08/29/2019 07:00PM ET,CINCY,10.33
