QB,RB,RB,WR,WR,WR,FLEX,S-FLEX
13125069,13125073,13125081,13125076,13125094,13125106,13125116,13125071
13125069,13125073,13125081,13125076,13125094,13125106,13125121,13125071
13125069,13125073,13125081,13125076,13125094,13125106,13125132,13125071
13125069,13125073,13125081,13125076,13125094,13125106,13125129,13125071
13125069,13125073,13125081,13125076,13125094,13125106,13125135,13125071
